,NaN_count,NaN_fraction
pressure_3hr_change,1307,0.9674315321983715
wind_gust,708,0.5240562546262029
sea_level_pressure,76,0.056254626202812734
wet_bulb_temperature,76,0.056254626202812734
station_level_pressure,76,0.056254626202812734
precipitation_9_hour,0,0.0
precipitation_12_hour,0,0.0
precipitation_15_hour,0,0.0
precipitation_18_hour,0,0.0
precipitation_3_hour,0,0.0
precipitation_21_hour,0,0.0
precipitation_24_hour,0,0.0
Station_ID,0,0.0
Station_name,0,0.0
Latitude,0,0.0
Longitude,0,0.0
precipitation_6_hour,0,0.0
iso_weekstartdate,0,0.0
precipitation,0,0.0
iso_year,0,0.0
altimeter,0,0.0
visibility,0,0.0
wind_direction,0,0.0
wind_speed,0,0.0
relative_humidity,0,0.0
dew_point_temperature,0,0.0
temperature,0,0.0
isoyw,0,0.0
iso_week,0,0.0
Elevation,0,0.0
